"actin3" "actinM" "actin5" "gapdh3" "gapdhM" "gapdh5" "rnapolII3"  "rnapolIIM"  "rnapolII5" "tatabp3" "tatabpM" "tatabp5"
"atgenomecdf" "AFFX-r2-At-Actin-3_s_at" "AFFX-r2-At-Actin-M_s_at" "AFFX-r2-At-Actin-5_s_at" "AFFX-Athal-GAPDH_3_s_at" "AFFX-Athal-GAPDH_M_s_at" "AFFX-Athal-GAPDH_5_s_at" "NA" "NA" "NA" "NA" "NA" "NA"
"ath1121501cdf" "AFFX-r2-At-Actin-3_s_at" "AFFX-r2-At-Actin-M_s_at" "AFFX-r2-At-Actin-5_s_at" "AFFX-Athal-GAPDH_3_s_at" "AFFX-Athal-GAPDH_M_s_at" "AFFX-Athal-GAPDH_5_s_at" "NA" "NA" "NA" "NA" "NA" "NA"
"drosgenome1cdf" "AFFX-Dros-ACTIN_3_at" "AFFX-Dros-ACTIN_M_r_at" "AFFX-Dros-ACTIN_5_at" "AFFX-Dros-GAPDH_3_at" "AFFX-Dros-GAPDH_M_at" "AFFX-Dros-GAPDH_5_at" "NA" "NA" "NA" "NA" "NA" "NA"
"hcg110cdf" "AFFX-HSAC07/X00351_3_at" "AFFX-HSAC07/X00351_M_at" "AFFX-HSAC07/X00351_5_at" "AFFX-HUMGAPDH/M33197_3_at" "AFFX-HUMGAPDH/M33197_M_at" "AFFX-HUMGAPDH/M33197_5_at" "NA" "NA" "NA" "NA" "NA" "NA"
"hgfocuscdf" "AFFX-HSAC07/X00351_3_at" "AFFX-HSAC07/X00351_M_at" "AFFX-HSAC07/X00351_5_at" "AFFX-HUMGAPDH/M33197_3_at" "AFFX-HUMGAPDH/M33197_M_at" "AFFX-HUMGAPDH/M33197_5_at" "NA" "NA" "NA" "NA" "NA" "NA"
"hgu133acdf" "AFFX-HSAC07/X00351_3_at" "AFFX-HSAC07/X00351_M_at" "AFFX-HSAC07/X00351_5_at" "AFFX-HUMGAPDH/M33197_3_at" "AFFX-HUMGAPDH/M33197_M_at" "AFFX-HUMGAPDH/M33197_5_at" "NA" "NA" "NA" "NA" "NA" "NA"
"hgu133a2cdf" "AFFX-HSAC07/X00351_3_at" "AFFX-HSAC07/X00351_M_at" "AFFX-HSAC07/X00351_5_at" "AFFX-HUMGAPDH/M33197_3_at" "AFFX-HUMGAPDH/M33197_M_at" "AFFX-HUMGAPDH/M33197_5_at" "NA" "NA" "NA" "NA" "NA" "NA"
"hgu133atagcdf" "AFFX-HSAC07/X00351_3_at" "AFFX-HSAC07/X00351_M_at" "AFFX-HSAC07/X00351_5_at" "AFFX-HUMGAPDH/M33197_3_at" "AFFX-HUMGAPDH/M33197_M_at" "AFFX-HUMGAPDH/M33197_5_at" "NA" "NA" "NA" "NA" "NA" "NA"
"hgu133bcdf" "AFFX-HSAC07/X00351_3_at" "AFFX-HSAC07/X00351_M_at" "AFFX-HSAC07/X00351_5_at" "AFFX-HUMGAPDH/M33197_3_at" "AFFX-HUMGAPDH/M33197_M_at" "AFFX-HUMGAPDH/M33197_5_at" "NA" "NA" "NA" "NA" "NA" "NA"
"hgu133plus2cdf" "AFFX-HSAC07/X00351_3_at" "AFFX-HSAC07/X00351_M_at" "AFFX-HSAC07/X00351_5_at" "AFFX-HUMGAPDH/M33197_3_at" "AFFX-HUMGAPDH/M33197_M_at" "AFFX-HUMGAPDH/M33197_5_at" "NA" "NA" "NA" "NA" "NA" "NA"
